,0,1,2,3
0,500,<function tanh at 0x11d0a3560>,0.01,30
1,500,<function tanh at 0x11d0a3560>,0.01,40
2,500,<function tanh at 0x11d0a3560>,0.001,30
3,500,<function tanh at 0x11d0a3560>,0.001,40
4,500,<function leaky_relu at 0x11d0a0e60>,0.01,30
5,500,<function leaky_relu at 0x11d0a0e60>,0.01,40
6,500,<function leaky_relu at 0x11d0a0e60>,0.001,30
7,500,<function leaky_relu at 0x11d0a0e60>,0.001,40
8,500,<function relu at 0x11d0a0a70>,0.01,30
9,500,<function relu at 0x11d0a0a70>,0.01,40
10,500,<function relu at 0x11d0a0a70>,0.001,30
11,500,<function relu at 0x11d0a0a70>,0.001,40
12,600,<function tanh at 0x11d0a3560>,0.01,30
13,600,<function tanh at 0x11d0a3560>,0.01,40
14,600,<function tanh at 0x11d0a3560>,0.001,30
15,600,<function tanh at 0x11d0a3560>,0.001,40
16,600,<function leaky_relu at 0x11d0a0e60>,0.01,30
17,600,<function leaky_relu at 0x11d0a0e60>,0.01,40
18,600,<function leaky_relu at 0x11d0a0e60>,0.001,30
19,600,<function leaky_relu at 0x11d0a0e60>,0.001,40
20,600,<function relu at 0x11d0a0a70>,0.01,30
21,600,<function relu at 0x11d0a0a70>,0.01,40
22,600,<function relu at 0x11d0a0a70>,0.001,30
23,600,<function relu at 0x11d0a0a70>,0.001,40
